Total songs  : 50
Total artists : 47
Artists            count
salem ilese          1
Cardi B              1
24kGoldn             1
NextYoungin          1
Claire Rosinkranz    1
Avenue Beat          1
Stellar              1
Sista Prod           1
Machine Gun Kelly    1
Maluma               1
Royal & the Serpent  1
Conan Gray           1
NEEDTOBREATHE        1
Tai Verdes           1
ppcocaine            2
zenorachi            1
Priscilla Block      1
Yn Jay               1
Lil Wayne            2
Ritt Momney          1
Jvla                 1
Cao White            1
Erica Banks          1
City Girls           1
Pop Smoke            2
ROLE MODEL           1
Ricky Montgomery     1
Joel Corry           1
Juice WRLD           1
Popcaan              1
Lainey Wilson        1
Labrinth             1
Tainy                1
Glass Animals        1
Disclosure           1
Jerry Di             1
Remi Wolf            1
Vedo                 1
Kane Brown           1
Nate Smith           1
Nessa Barrett        1
XIX                  1
Jelly Roll           1
Tate McRae           1
Mulatto              1
Colter Wall          1
Okean Elzi           1
